COD_SEGMENTO;DESC_SEGMENTO;GRUPO
211011;CORPORATIVO 1;EMPRESAS
211022;CORPORATIVO 2;EMPRESAS
222011;ESTATALES 1;EMPRESAS
222022;ESTATALES 2;EMPRESAS
222033;INSTITUCIONES 1;EMPRESAS
222044;INSTITUCIONES 2;EMPRESAS
222055;INSTITUCIONES 3;EMPRESAS
222066;INSTITUCIONES 4;EMPRESAS
233011;EMPRESA TOP ;EMPRESAS
233022;EMPRESA MED 1;EMPRESAS
233044;EMPRESA MED 2;EMPRESAS
233066;EMPRESA LOW;EMPRESAS
255011;PYMES 1;EMPRESAS
255022;PYMES 2;EMPRESAS
255033;PYMES 3;EMPRESAS
255044;PYMES 4;EMPRESAS
255066;PYMES 5;EMPRESAS
266000;BANCA EMPRESARIO 1;PERSONAS
266011;BANCA EMPRESARIO 2;PERSONAS
266022;BANCA EMPRESARIO 3;PERSONAS
266033;BANCA EMPRESARIO 4;PERSONAS
266044;BANCA EMPRESARIO 5;PERSONAS
266066;BANCA EMPRESARIO 6;PERSONAS
288011;BANCA PREMIUM ORO;PERSONAS
288022;BANCA PREMIUM PLATA;PERSONAS
288111;BANCA VIP;PERSONAS
288211;BANCA EXCLUSIVA 1;PERSONAS
288222;BANCA EXCLUSIVA 2;PERSONAS
288233;BANCA EXCLUSIVA 3;PERSONAS
288244;BANCA EXCLUSIVA 4;PERSONAS
288311;BANCA CLASICA 1;PERSONAS
288322;BANCA CLASICA 2;PERSONAS
288411;BANCA RED 1;PERSONAS
288422;BANCA RED 2;PERSONAS
288511;BANCA RED 3;PERSONAS
288600;BANCA BAJO VALOR 1;PERSONAS
288611;BANCA BAJO VALOR 2;PERSONAS
288622;BANCA BAJO VALOR 3;PERSONAS
288633;BANCA BAJO VALOR 4;PERSONAS
288644;BANCA BAJO VALOR 5;PERSONAS
288655;BANCA BAJO VALOR 6;PERSONAS
288666;BANCA BAJO VALOR 7;PERSONAS
288711;BANCA BAJO VALOR 8;PERSONAS
